"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.9430.1"	"MSTRG.9430"	5.24	5.19	5.32	4.91	9.81	6.45	9.57	6.69	5.83
"MSTRG.9431.1"	"MSTRG.9431"	0.69	0.81	0.94	0.79	1.43	1.1	1.75	1.24	0.95
"MSTRG.9432.1"	"MSTRG.9432"	1.24	1.68	1.57	0.96	3.32	2.26	3.99	1.56	2.22
"MSTRG.9433.1"	"MSTRG.9433"	6.64	8.55	3.85	6.74	15.5	10.26	10.76	27.44	7.4
"MSTRG.9434.1"	"MSTRG.9434"	4.41	4.26	4.11	4.26	9.54	5.21	10.05	9.34	5.91
"MSTRG.9435.1"	"MSTRG.9435"	19.11	21.11	15.63	18.92	40.18	25.81	39.7	39.66	23.79
"MSTRG.9436.1"	"MSTRG.9436"	2.11	2.48	1.76	2.53	4.02	1.24	2.8	1.54	1.87
"MSTRG.9436.2"	"MSTRG.9436"	3.91	3.72	3.94	3.43	8.33	7.33	10.2	15.46	7.26
"MSTRG.9437.1"	"MSTRG.9437"	7.63	7.37	5.99	6.8	15.09	8.02	14.34	16.88	8.18
"MSTRG.9438.1"	"MSTRG.9438"	11.37	10.97	9.65	10.35	28.34	15.91	25.01	16.47	12.71
"MSTRG.9439.1"	"MSTRG.9439"	7.29	8.37	4.86	5.87	15.47	9.63	13.42	11.91	9.4
"MSTRG.944.1"	"MSTRG.944"	102.73	112.64	95.38	94.43	196.47	129.26	217.37	179.55	126.41
"MSTRG.944.2"	"MSTRG.944"	6.17	7.84	4.91	5.45	12.57	5.99	12.91	13.25	6.88
"MSTRG.944.3"	"MSTRG.944"	1.52	1.54	1.94	1.42	2.93	1.74	4.82	2.87	2.26
"MSTRG.9440.1"	"MSTRG.9440"	1.17	1.01	1.15	1.18	2.59	1.46	3.14	1.37	1.52
"MSTRG.9441.1"	"MSTRG.9441"	0.84	0.38	1.28	0.6	0.64	1.05	3.09	1.93	1.29
"MSTRG.9441.2"	"MSTRG.9441"	0.61	1.25	0.37	0.83	2.75	1.48	0.64	0.93	1.08
"MSTRG.9441.3"	"MSTRG.9441"	0.61	0.71	0.73	0.47	1.02	1.09	1.61	2	1.22
"MSTRG.9441.4"	"MSTRG.9441"	0.56	0.63	0.55	0.89	1.96	1.38	1.41	2.23	1.51
"MSTRG.9442.1"	"MSTRG.9442"	5.71	6.19	4.3	4.69	10.26	6.47	10.14	6.33	6.9
"MSTRG.9442.2"	"MSTRG.9442"	1.96	1.79	1.98	1.41	2.72	2.35	2.97	2.1	2.23
"MSTRG.9443.1"	"MSTRG.9443"	1.49	1.32	1.21	1.27	3.1	1.71	3.12	3.55	1.98
"MSTRG.9444.1"	"MSTRG.9444"	7.14	5.09	5.18	5.15	11.62	6.94	14.05	11.96	6.66
"MSTRG.9445.1"	"MSTRG.9445"	6.38	6.5	5.26	5.81	11.15	7.02	10.42	9.46	5.34
"MSTRG.9446.1"	"MSTRG.9446"	3.54	3.97	2.8	3.51	7.09	4.26	7.65	7.21	4.87
"MSTRG.9447.1"	"MSTRG.9447"	58.24	54.01	47.82	55.97	101.54	66.05	115.82	129.24	65.17
"MSTRG.9448.1"	"MSTRG.9448"	1.68	1.54	1.23	1.65	2.75	1.79	2.73	2.28	1.58
"MSTRG.9449.1"	"MSTRG.9449"	1.34	1.39	1.34	1.59	2.61	1.5	2.62	1.99	1.51
"MSTRG.945.1"	"MSTRG.945"	0.99	0.98	0.79	0.98	2.25	1.85	2.2	3.67	1.44
"MSTRG.9450.1"	"MSTRG.9450"	3.73	4.65	4.7	3.46	7.3	3.92	6.19	4.04	4.58
"MSTRG.9451.1"	"MSTRG.9451"	14.84	17.19	12.15	14.61	28.9	17.47	32.26	38.95	18.8
"MSTRG.9452.1"	"MSTRG.9452"	6	7.3	4.84	6.38	10.75	5.64	6.91	11.14	5.63
"MSTRG.9453.1"	"MSTRG.9453"	0.59	0.39	0.73	0.9	1.58	1.11	1.25	0.79	0.78
"MSTRG.9454.1"	"MSTRG.9454"	1.03	1.06	1.04	0.91	2.1	1.33	1.73	4.07	1.35
"MSTRG.9454.2"	"MSTRG.9454"	1.15	1.45	1.13	1.17	2.39	1.91	2.72	0.77	1.85
"MSTRG.9455.1"	"MSTRG.9455"	0.79	1.28	1.18	0.6	1.5	0.98	1.71	1.69	1.4
"MSTRG.9455.2"	"MSTRG.9455"	5.13	4.22	3.81	4.28	9.51	5.59	11.41	10.39	6.13
"MSTRG.9455.3"	"MSTRG.9455"	1.26	1.39	1.04	1.85	1.71	2.79	4.54	6.25	1.4
"MSTRG.9455.4"	"MSTRG.9455"	0.58	0.56	0.56	0.47	1.01	0.97	1.42	1.75	0.8
"MSTRG.9456.1"	"MSTRG.9456"	6.13	7.17	5.26	5.79	13.05	7.77	9.65	12.31	5.97
"MSTRG.9457.1"	"MSTRG.9457"	3.45	2.94	3.14	3.37	7.39	4.75	8.67	5.03	4.39
"MSTRG.9458.1"	"MSTRG.9458"	1.33	1.77	0.9	0.97	2.05	1.66	2.76	1.67	1.27
"MSTRG.9458.2"	"MSTRG.9458"	4.8	5.3	3.71	5.36	10.74	6.02	11.25	10.8	7.06
"MSTRG.9459.1"	"MSTRG.9459"	8.9	8.58	7.51	7.78	14.81	9.31	13.54	11.62	7.99
"MSTRG.946.1"	"MSTRG.946"	97.96	67.51	70.81	149.23	99.89	145.84	85.16	228.08	75.39
"MSTRG.946.2"	"MSTRG.946"	127.04	159.96	111.7	143.06	220.07	296.01	204.48	316.1	164.42
"MSTRG.946.3"	"MSTRG.946"	2.23	4.2	2.32	1.98	6.01	6.73	7.81	13.58	6.07
"MSTRG.946.4"	"MSTRG.946"	8.07	14.01	8.92	7.88	20.29	22.34	22.88	26.27	18.15
"MSTRG.946.5"	"MSTRG.946"	0.69	0.92	0.67	0.73	1.58	1.58	1.18	3.45	1.32
"MSTRG.946.6"	"MSTRG.946"	0.18	0.31	0.17	0.16	0.39	0.41	0.5	1.09	0.5
"MSTRG.9460.1"	"MSTRG.9460"	2.6	2.87	2.92	2.82	5.18	3.08	3.59	4.97	2.26
"MSTRG.9461.1"	"MSTRG.9461"	5.57	5.34	4.32	4.97	11.69	6.87	11.65	11.82	6.37
"MSTRG.9461.2"	"MSTRG.9461"	29.27	31.23	20.24	26.52	58.45	36.48	62.15	63.23	32.54
"MSTRG.9462.1"	"MSTRG.9462"	1.04	1.26	0.86	1.39	2.41	1.21	1.77	1.3	1.14
"MSTRG.9463.1"	"MSTRG.9463"	0.9	0.89	0	0	0	0	0	0	1.7
"MSTRG.9464.1"	"MSTRG.9464"	1.84	1.76	1.69	1.67	4.23	2.67	4.91	3.77	2.68
"MSTRG.9464.2"	"MSTRG.9464"	0.46	0.74	0.46	0.61	1.31	1.22	1.24	2.25	1.18
"MSTRG.9465.1"	"MSTRG.9465"	9.31	9.33	10.57	7.4	16.44	11.35	19.94	8.35	9.45
"MSTRG.9465.2"	"MSTRG.9465"	1.93	4.48	2.49	2.29	2.39	2.62	4.87	3.48	4.35
"MSTRG.9465.3"	"MSTRG.9465"	1.92	1.07	1.98	1.78	4.77	2.99	2.22	2.57	1.39
"MSTRG.9466.1"	"MSTRG.9466"	0.11	0.31	0.06	0.59	0.46	0	0.47	0	0
"MSTRG.9466.2"	"MSTRG.9466"	3.63	3.72	3.92	3.07	7.94	4.6	8.16	3.95	4.38
"MSTRG.9466.3"	"MSTRG.9466"	0.33	0.27	0.12	0.26	0.22	0.36	0.43	0.52	0.21
"MSTRG.9467.1"	"MSTRG.9467"	3.45	3.84	2.72	4.46	7.76	5.48	9.77	8.62	6.27
"MSTRG.9467.2"	"MSTRG.9467"	14.12	17.78	12.13	13.31	31.27	19.09	29.73	28.76	18.89
"MSTRG.9467.3"	"MSTRG.9467"	2.21	1.56	0.82	1.41	2.52	3.85	3.76	4.25	3.27
"MSTRG.9467.4"	"MSTRG.9467"	1.1	0.8	0.89	0.33	2.01	0.83	0.6	2.63	1.41
"MSTRG.9468.1"	"MSTRG.9468"	15.3	17.28	12.88	14.29	31.02	19.33	30.81	30.86	21.08
"MSTRG.9469.1"	"MSTRG.9469"	0.2	0.11	0.2	0.18	0.14	0.09	0.38	0.13	0.29
"MSTRG.9469.2"	"MSTRG.9469"	2.56	3.59	2.27	2.66	5.42	3.73	4.36	5.81	3.4
"MSTRG.9469.3"	"MSTRG.9469"	0.12	0.35	0.26	0.19	0.55	0.56	0.29	0.94	0.41
"MSTRG.947.1"	"MSTRG.947"	12.8	15.65	11.92	16.35	26.34	43.89	36.97	78.18	35.39
"MSTRG.9470.1"	"MSTRG.9470"	0.32	0.41	1.15	0.23	0.86	0.32	0.55	0.25	0.88
"MSTRG.9470.10"	"MSTRG.9470"	0.18	0.36	0	0.38	0.5	0.35	0.34	1.95	0
"MSTRG.9470.11"	"MSTRG.9470"	0.3	0	0	0	0.11	0	0	0	0
"MSTRG.9470.2"	"MSTRG.9470"	1.99	1.71	1.66	1.62	4.25	3.75	5.15	4.27	3.83
"MSTRG.9470.3"	"MSTRG.9470"	1.25	0.9	1.5	1.2	2.06	1.48	3.49	2.71	1.14
"MSTRG.9470.4"	"MSTRG.9470"	0.62	1.25	1.26	0.93	1.61	1.47	2.13	0.48	1.37
"MSTRG.9470.5"	"MSTRG.9470"	2.3	2.59	2.36	2.11	4.45	3.04	3.94	4.14	3.04
"MSTRG.9470.6"	"MSTRG.9470"	1.11	1.58	1.12	1.73	3.01	2.2	3.17	1.38	2.87
"MSTRG.9470.7"	"MSTRG.9470"	0.43	0.21	0.11	0.4	1.65	0.67	1.74	0.7	0.19
"MSTRG.9470.8"	"MSTRG.9470"	0.24	0.06	0.22	0	0.58	0	0.92	0.58	0.37
"MSTRG.9470.9"	"MSTRG.9470"	0.09	0	0	0	0.13	0	0.49	0	0
"MSTRG.9471.1"	"MSTRG.9471"	15.63	18.52	18.99	14.66	28.26	17.27	28.89	15.23	18.09
"MSTRG.9472.1"	"MSTRG.9472"	13.47	15.82	11.92	13.58	23.73	15.65	25.21	21.92	16
"MSTRG.9473.1"	"MSTRG.9473"	1.59	1.76	1.48	1.57	2.87	2.02	3.19	2.83	1.91
"MSTRG.9473.2"	"MSTRG.9473"	1.23	0.9	1.43	1.24	1.9	1.29	1.16	1.23	0.94
"MSTRG.9474.1"	"MSTRG.9474"	3.78	4.44	2.72	3.57	8.29	4.3	6.08	5.17	4.83
"MSTRG.9475.1"	"MSTRG.9475"	105.16	134.58	118.6	114.43	224.22	154.41	186.42	289.48	185.55
"MSTRG.9476.1"	"MSTRG.9476"	0.98	1.41	1.31	1	2.54	1.58	2.03	1.71	1.27
"MSTRG.9477.1"	"MSTRG.9477"	2.51	2.89	2.93	0.48	4.56	0.62	5.58	0	1.58
"MSTRG.9477.2"	"MSTRG.9477"	7.56	9.51	7.77	10.07	16.68	13.2	11.71	14.62	12.57
"MSTRG.9477.3"	"MSTRG.9477"	15.79	14.42	13.54	15.03	35.79	20.5	32.78	35.15	22.67
"MSTRG.9478.1"	"MSTRG.9478"	8.41	3.69	8.98	5.27	6.69	7.56	11.02	6.66	8.78
"MSTRG.9478.2"	"MSTRG.9478"	0.19	0.32	0.19	0.04	0.42	0.16	0	0.44	0.24
"MSTRG.9478.3"	"MSTRG.9478"	5.74	11.49	3.11	7.93	17.97	10.3	18.18	24.63	6.76
"MSTRG.9478.4"	"MSTRG.9478"	0	0	0	0	0	0	0.11	0	0
"MSTRG.9478.5"	"MSTRG.9478"	0	0	0	0	0	0	0	0	0.12
"MSTRG.9478.6"	"MSTRG.9478"	2.19	2.02	1.29	2.91	3.34	3.04	4.14	4.7	2.3
"MSTRG.9479.1"	"MSTRG.9479"	0	0	0	0	0	0	0	0	0
"MSTRG.9479.2"	"MSTRG.9479"	4.24	4.41	3.9	3.97	6.76	5.2	7.68	5.2	4.3
"MSTRG.948.1"	"MSTRG.948"	16.95	25.52	20.84	18.82	35.95	43.14	33.17	86.93	35.37
"MSTRG.948.2"	"MSTRG.948"	0.68	0.93	0.7	0.7	2.17	2.76	1.75	3.95	2.27
"MSTRG.9480.1"	"MSTRG.9480"	1.61	1.41	1.06	1.3	2.75	1.86	3.15	1.7	1.58
"MSTRG.9481.1"	"MSTRG.9481"	1.73	1.86	1.65	1.85	3.6	2.06	3.71	3.57	2.13
"MSTRG.9482.1"	"MSTRG.9482"	3.6	3.41	3.88	3.75	7.77	5.14	9.12	6.31	5.11
"MSTRG.9483.1"	"MSTRG.9483"	1.8	1.88	1.67	1.57	2.76	2.04	3.23	2.17	1.95
"MSTRG.9484.1"	"MSTRG.9484"	2.57	3.07	2.52	2.84	5.79	4.45	5.64	5.5	3.33
