"transcript_id"	"gene_id"	"KO3"	"KO2"	"KO1"	"Het3"	"Het2"	"Het1"	"WT3"	"WT2"	"WT1"
"MSTRG.7991.1"	"MSTRG.7991"	152.02	158.04	91.06	138	179.94	130.19	125.99	95.02	110.42
"MSTRG.7992.1"	"MSTRG.7992"	916	1079	489	930	1208	956	1001	546	771
"MSTRG.7993.1"	"MSTRG.7993"	2318	2772	1437	2344	3016	2857	2605	1494	2295
"MSTRG.7994.1"	"MSTRG.7994"	4151.16	3567.47	2879.26	3785.87	4173.09	3530.63	4152.14	1621.38	3124.76
"MSTRG.7994.2"	"MSTRG.7994"	0	115.99	0	91.76	109.31	183.93	93.97	0	70.01
"MSTRG.7994.3"	"MSTRG.7994"	58.84	177.54	39.74	19.37	77.6	117.45	79.89	84.62	135.23
"MSTRG.7995.1"	"MSTRG.7995"	2621	2784	1429	2481	3100	2682	2848	1963	2378
"MSTRG.7996.1"	"MSTRG.7996"	470.52	472.38	255.05	404.25	496.86	512.31	534.25	308.18	382.18
"MSTRG.7997.1"	"MSTRG.7997"	1958	2220	1089	1748	2199	1752	1782	1208	1554
"MSTRG.7998.1"	"MSTRG.7998"	405	337	183	339	385	328	337	287	196
"MSTRG.7999.1"	"MSTRG.7999"	1165	1075	591	1011	1542	1110	1402	802	1106
"MSTRG.8.1"	"MSTRG.8"	1316	1140	672	1169	1602	1224	1431	845	1141
"MSTRG.80.1"	"MSTRG.80"	420	382	201	375	438	358	385	316	270
"MSTRG.800.1"	"MSTRG.800"	229.98	100.8	170.21	122.81	27.34	207.02	90.76	0	2.5
"MSTRG.800.2"	"MSTRG.800"	4641.02	6460.95	3125.58	4587.97	6101.3	5756.39	4366.14	4136.75	5699.02
"MSTRG.800.3"	"MSTRG.800"	235.01	466.17	121.5	337.29	356.32	261.33	420.03	728.69	273.33
"MSTRG.800.4"	"MSTRG.800"	90.82	238.5	86.34	109.92	148.17	212.88	81.72	166.59	208.02
"MSTRG.800.5"	"MSTRG.800"	103.92	262.86	69.13	124.4	200.7	227.68	102.18	214.57	301.68
"MSTRG.800.6"	"MSTRG.800"	429.24	897.72	313.25	502.6	793.17	837.7	407.17	840.41	875.44
"MSTRG.8000.1"	"MSTRG.8000"	364.77	710.91	296.29	507.55	767.78	601.73	665.8	383.73	626.92
"MSTRG.8000.2"	"MSTRG.8000"	893.23	598.09	355.77	649.45	819.22	641.27	757.2	495.27	29.25
"MSTRG.8000.3"	"MSTRG.8000"	0	0	17.94	0	0	0	0	0	421.83
"MSTRG.8001.1"	"MSTRG.8001"	2278.39	3220.43	1686.58	2220.7	4033	2910.86	2383.9	2004.08	3030.35
"MSTRG.8001.2"	"MSTRG.8001"	1015.61	1135.57	718.42	1221.3	891	1215.14	744.1	547.92	1224.65
"MSTRG.8002.1"	"MSTRG.8002"	684	687	404	677	754	635	769	360	541
"MSTRG.8003.1"	"MSTRG.8003"	270.04	205.54	154.45	157.68	269.13	207.62	176.74	94.71	113.04
"MSTRG.8003.2"	"MSTRG.8003"	547.96	782.46	249.55	638.32	766.87	480.38	524.26	540.29	568.96
"MSTRG.8004.1"	"MSTRG.8004"	756	758	410	649	736	637	699	458	521
"MSTRG.8005.1"	"MSTRG.8005"	211.46	231.19	118.6	229.08	293.15	288.57	233.74	250.06	295.46
"MSTRG.8005.2"	"MSTRG.8005"	1205.39	1292.51	735.36	1199.76	1307.72	1059.88	1242.18	792.11	856.86
"MSTRG.8006.1"	"MSTRG.8006"	3041.36	3399.1	1982	2824.18	3723.35	2926.16	2884.2	2006.43	2571.1
"MSTRG.8007.1"	"MSTRG.8007"	946	984	605	786	971	765	726	377	691
"MSTRG.8008.1"	"MSTRG.8008"	131.36	131.54	131.48	131.66	0	0	0	0	0
"MSTRG.8008.2"	"MSTRG.8008"	628.64	832.46	321.52	586.34	961	667.05	571	509	628
"MSTRG.8009.1"	"MSTRG.8009"	117	206	152	135	227	181	116	101	181
"MSTRG.801.1"	"MSTRG.801"	75.17	94.52	30.5	43.75	81.51	55.06	62.64	18.87	78.54
"MSTRG.801.2"	"MSTRG.801"	1249.83	1245.48	789.5	1123.25	1371.49	1154.94	1226.36	677.13	957.46
"MSTRG.8010.1"	"MSTRG.8010"	60.44	25.33	40.39	60.89	87.34	124.04	84.59	10.78	83.54
"MSTRG.8010.2"	"MSTRG.8010"	2467.85	2534.22	1540.5	2224.68	2896.58	2837.11	2875.14	2254.23	2377.83
"MSTRG.8010.3"	"MSTRG.8010"	197.71	321.58	154.11	240.43	303.08	402.85	196.27	433.99	333.63
"MSTRG.8011.1"	"MSTRG.8011"	311	410	196	367	481	313	380	243	263
"MSTRG.8012.1"	"MSTRG.8012"	243.39	306.57	124.12	223.28	327.36	262.49	258.52	172.79	241.62
"MSTRG.8012.2"	"MSTRG.8012"	6404.61	7222.43	4919.88	6041.72	6843.64	5638.51	5527.48	2483.21	4861.38
"MSTRG.8013.1"	"MSTRG.8013"	143	137	128	116	152	109	112	59	117
"MSTRG.8014.1"	"MSTRG.8014"	973	1043	759	1020	1335	1128	924	725	929
"MSTRG.8015.1"	"MSTRG.8015"	65.17	39.67	22.94	60.35	47.37	45.8	57.99	55.02	23.54
"MSTRG.8016.1"	"MSTRG.8016"	0	0	0	0	0	0	0	0	0
"MSTRG.8017.1"	"MSTRG.8017"	230	199	87	233	268	205	241	286	149
"MSTRG.8018.1"	"MSTRG.8018"	243	284	145	235	264	242	241	172	224
"MSTRG.8019.1"	"MSTRG.8019"	2625.21	2560.53	1451.37	2349.31	3427.96	2503.86	3176.85	2172.32	2285.51
"MSTRG.8019.2"	"MSTRG.8019"	638.95	434.39	404.23	448.47	527.22	1032.05	355.14	354.7	506.24
"MSTRG.8019.3"	"MSTRG.8019"	34.69	180.03	52.48	43.93	177	18.67	82.16	105.14	44.08
"MSTRG.8019.4"	"MSTRG.8019"	0.56	23.25	31.7	165.03	17.48	334.92	76.56	12.77	168.22
